,IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
2,17,10.215.173.1,11530,10.215.173.2,53,10272,Google Play Store,com.android.vending,DNS,Closed,beacons.gcp.gvt2.com,66,112,1,1,2025-02-04T04:06:11.205-07:00,2025-02-04T04:06:11.425-07:00
4,17,10.215.173.1,47531,172.253.63.94,443,10272,Google Play Store,com.android.vending,QUIC,Closed,beacons.gcp.gvt2.com,4401,8476,11,14,2025-02-04T04:06:11.464-07:00,2025-02-04T04:06:11.825-07:00
12,17,10.215.173.1,32486,10.215.173.2,53,10272,Google Play Store,com.android.vending,DNS,Closed,connectivitycheck.gstatic.com,75,91,1,1,2025-02-04T04:06:24.351-07:00,2025-02-04T04:06:24.386-07:00
13,6,10.215.173.1,48712,142.250.115.94,443,10272,Google Play Store,com.android.vending,HTTPS,Closed,connectivitycheck.gstatic.com,2242,2134,14,13,2025-02-04T04:06:24.391-07:00,2025-02-04T04:08:01.108-07:00
14,6,10.215.173.1,48716,142.250.115.94,443,10272,Google Play Store,com.android.vending,HTTPS,Closed,connectivitycheck.gstatic.com,1534,1562,9,9,2025-02-04T04:06:24.465-07:00,2025-02-04T04:07:32.110-07:00
18,17,10.215.173.1,8196,10.215.173.2,53,10272,Google Play Store,com.android.vending,DNS,Closed,beacons.gvt2.com,62,78,1,1,2025-02-04T04:06:24.876-07:00,2025-02-04T04:06:24.890-07:00
20,6,10.215.173.1,49780,142.250.113.94,443,10272,Google Play Store,com.android.vending,HTTPS,Closed,beacons.gvt2.com,4151,7815,16,14,2025-02-04T04:06:24.895-07:00,2025-02-04T04:07:27.094-07:00
21,17,10.215.173.1,47395,142.250.113.94,443,10272,Google Play Store,com.android.vending,QUIC,Closed,beacons.gvt2.com,4154,8903,6,10,2025-02-04T04:06:25.073-07:00,2025-02-04T04:06:25.185-07:00
34,17,10.215.173.1,2902,10.215.173.2,53,10428,PCAPdroid,com.emanuelef.remote_capture,DNS,Closed,firebaselogging.googleapis.com,76,156,1,1,2025-02-04T04:06:28.542-07:00,2025-02-04T04:06:28.566-07:00
35,6,10.215.173.1,41488,142.250.113.95,443,10428,PCAPdroid,com.emanuelef.remote_capture,HTTPS,Closed,firebaselogging.googleapis.com,1903,5977,8,8,2025-02-04T04:06:28.573-07:00,2025-02-04T04:07:32.110-07:00
157,17,10.215.173.1,39336,10.215.173.2,53,10428,PCAPdroid,com.emanuelef.remote_capture,DNS,Closed,firebaselogging.googleapis.com,76,156,1,1,2025-02-04T04:22:00.353-07:00,2025-02-04T04:22:00.373-07:00
158,6,10.215.173.1,44822,142.251.116.95,443,10428,PCAPdroid,com.emanuelef.remote_capture,HTTPS,Closed,firebaselogging.googleapis.com,1946,1806,7,7,2025-02-04T04:22:00.380-07:00,2025-02-04T04:23:00.278-07:00
241,17,10.215.173.1,35973,10.215.173.2,53,10272,Google Play Store,com.android.vending,DNS,Closed,beacons.gcp.gvt2.com,66,112,1,1,2025-02-04T04:27:14.835-07:00,2025-02-04T04:27:14.864-07:00
242,17,10.215.173.1,48093,142.250.115.94,443,10272,Google Play Store,com.android.vending,QUIC,Closed,beacons.gcp.gvt2.com,5580,8484,11,14,2025-02-04T04:27:14.890-07:00,2025-02-04T04:27:15.164-07:00
272,17,10.215.173.1,46649,10.215.173.2,53,10272,Google Play Store,com.android.vending,DNS,Closed,connectivitycheck.gstatic.com,75,91,1,1,2025-02-04T04:28:23.641-07:00,2025-02-04T04:28:23.662-07:00
273,6,10.215.173.1,46848,142.250.115.94,443,10272,Google Play Store,com.android.vending,HTTPS,Closed,connectivitycheck.gstatic.com,1175,5237,8,8,2025-02-04T04:28:23.669-07:00,2025-02-04T04:29:28.502-07:00
303,17,10.215.173.1,62581,10.215.173.2,53,10432,Novelist,it.returntrue.novelist,DNS,Closed,fonts.gstatic.com,63,79,1,1,2025-02-04T04:29:40.851-07:00,2025-02-04T04:29:40.880-07:00
304,17,10.215.173.1,23587,10.215.173.2,53,10432,Novelist,it.returntrue.novelist,DNS,Closed,fonts.gstatic.com,63,91,1,1,2025-02-04T04:29:40.867-07:00,2025-02-04T04:29:40.893-07:00
305,6,10.215.173.1,45318,142.251.116.94,443,10432,Novelist,it.returntrue.novelist,HTTPS,Closed,fonts.gstatic.com,3410,282161,72,71,2025-02-04T04:29:40.886-07:00,2025-02-04T04:29:56.333-07:00
306,6,10.215.173.1,45320,142.251.116.94,443,10432,Novelist,it.returntrue.novelist,HTTPS,Closed,fonts.gstatic.com,3370,275196,71,71,2025-02-04T04:29:40.891-07:00,2025-02-04T04:29:56.300-07:00
469,17,10.215.173.1,15343,10.215.173.2,53,10307,Chrome,com.android.chrome,DNS,Closed,www.gstatic.com,61,77,1,1,2025-02-04T04:51:26.546-07:00,2025-02-04T04:51:26.568-07:00
470,17,10.215.173.1,25825,10.215.173.2,53,10307,Chrome,com.android.chrome,DNS,Closed,www.gstatic.com,61,118,1,1,2025-02-04T04:51:26.549-07:00,2025-02-04T04:51:26.569-07:00
471,17,10.215.173.1,46605,142.251.186.94,443,10307,Chrome,com.android.chrome,QUIC,Closed,www.gstatic.com,3213,10348,20,16,2025-02-04T04:51:26.574-07:00,2025-02-04T04:51:29.013-07:00
501,17,10.215.173.1,41836,10.215.173.2,53,10307,Chrome,com.android.chrome,DNS,Closed,encrypted-tbn0.gstatic.com,72,168,1,1,2025-02-04T04:51:28.909-07:00,2025-02-04T04:51:28.933-07:00
502,17,10.215.173.1,27015,10.215.173.2,53,10307,Chrome,com.android.chrome,DNS,Closed,encrypted-tbn0.gstatic.com,72,129,1,1,2025-02-04T04:51:28.914-07:00,2025-02-04T04:51:28.934-07:00
503,17,10.215.173.1,7475,10.215.173.2,53,10307,Chrome,com.android.chrome,DNS,Closed,encrypted-tbn1.gstatic.com,72,168,1,1,2025-02-04T04:51:28.919-07:00,2025-02-04T04:51:28.949-07:00
504,17,10.215.173.1,24377,10.215.173.2,53,10307,Chrome,com.android.chrome,DNS,Closed,encrypted-tbn1.gstatic.com,72,129,1,1,2025-02-04T04:51:28.922-07:00,2025-02-04T04:51:28.952-07:00
506,6,10.215.173.1,46018,142.250.115.101,443,10307,Chrome,com.android.chrome,HTTPS,Closed,encrypted-tbn0.gstatic.com,1702,15723,14,14,2025-02-04T04:51:28.936-07:00,2025-02-04T04:52:31.354-07:00
507,6,10.215.173.1,40532,142.250.114.138,443,10307,Chrome,com.android.chrome,HTTPS,Closed,encrypted-tbn1.gstatic.com,1606,7259,11,8,2025-02-04T04:51:28.955-07:00,2025-02-04T04:52:31.354-07:00
508,17,10.215.173.1,38054,10.215.173.2,53,10307,Chrome,com.android.chrome,DNS,Closed,encrypted-tbn0.gstatic.com,72,168,1,1,2025-02-04T04:51:33.455-07:00,2025-02-04T04:51:33.501-07:00
509,17,10.215.173.1,22103,10.215.173.2,53,10307,Chrome,com.android.chrome,DNS,Closed,encrypted-tbn0.gstatic.com,72,129,1,1,2025-02-04T04:51:33.459-07:00,2025-02-04T04:51:33.502-07:00
510,6,10.215.173.1,37252,142.250.115.139,443,10307,Chrome,com.android.chrome,HTTPS,Closed,encrypted-tbn0.gstatic.com,4331,25007,37,24,2025-02-04T04:51:33.506-07:00,2025-02-04T04:52:31.358-07:00
511,6,10.215.173.1,37260,142.250.115.139,443,10307,Chrome,com.android.chrome,HTTPS,Closed,encrypted-tbn0.gstatic.com,952,5577,7,7,2025-02-04T04:51:33.509-07:00,2025-02-04T04:51:33.710-07:00
512,6,10.215.173.1,37262,142.250.115.139,443,10307,Chrome,com.android.chrome,HTTPS,Closed,encrypted-tbn0.gstatic.com,920,5575,7,7,2025-02-04T04:51:33.512-07:00,2025-02-04T04:51:33.714-07:00
513,6,10.215.173.1,37276,142.250.115.139,443,10307,Chrome,com.android.chrome,HTTPS,Closed,encrypted-tbn0.gstatic.com,920,5576,7,7,2025-02-04T04:51:33.514-07:00,2025-02-04T04:51:33.714-07:00
514,6,10.215.173.1,37280,142.250.115.139,443,10307,Chrome,com.android.chrome,HTTPS,Closed,encrypted-tbn0.gstatic.com,920,5576,7,7,2025-02-04T04:51:33.515-07:00,2025-02-04T04:51:33.719-07:00
515,6,10.215.173.1,37294,142.250.115.139,443,10307,Chrome,com.android.chrome,HTTPS,Closed,encrypted-tbn0.gstatic.com,984,5575,7,7,2025-02-04T04:51:33.519-07:00,2025-02-04T04:51:33.780-07:00
516,17,10.215.173.1,48341,142.250.115.139,443,10307,Chrome,com.android.chrome,QUIC,Closed,encrypted-tbn0.gstatic.com,1600,6285,4,7,2025-02-04T04:51:33.916-07:00,2025-02-04T04:51:34.098-07:00
528,17,10.215.173.1,8513,10.215.173.2,53,10272,Google Play Store,com.android.vending,DNS,Closed,connectivitycheck.gstatic.com,75,91,1,1,2025-02-04T04:52:12.579-07:00,2025-02-04T04:52:12.598-07:00
529,6,10.215.173.1,39196,142.250.115.94,443,10272,Google Play Store,com.android.vending,HTTPS,Closed,connectivitycheck.gstatic.com,1200,1276,7,7,2025-02-04T04:52:12.606-07:00,2025-02-04T04:53:17.146-07:00
677,17,10.215.173.1,56681,10.215.173.2,53,10272,Google Play Store,com.android.vending,DNS,Closed,connectivitycheck.gstatic.com,75,91,1,1,2025-02-04T05:03:22.251-07:00,2025-02-04T05:03:22.271-07:00
678,6,10.215.173.1,40850,142.250.115.94,443,10272,Google Play Store,com.android.vending,HTTPS,Closed,connectivitycheck.gstatic.com,1135,5196,7,7,2025-02-04T05:03:22.277-07:00,2025-02-04T05:04:26.259-07:00
722,17,10.215.173.1,19723,10.215.173.2,53,10430,Opensignal,com.staircase3.opensignal,DNS,Closed,firebaselogging-pa.googleapis.com,79,159,1,1,2025-02-04T05:03:52.828-07:00,2025-02-04T05:03:52.852-07:00
723,6,10.215.173.1,39018,142.251.116.95,443,10430,Opensignal,com.staircase3.opensignal,HTTPS,Closed,firebaselogging-pa.googleapis.com,2387,6101,11,11,2025-02-04T05:03:52.857-07:00,2025-02-04T05:03:58.621-07:00
727,17,10.215.173.1,38301,142.250.113.95,443,10244,Google Play services,com.google.android.gms,QUIC,Closed,firebaselogging-pa.googleapis.com,44302,21359,44,40,2025-02-04T05:03:55.203-07:00,2025-02-04T05:03:56.293-07:00
852,17,10.215.173.1,59936,10.215.173.2,53,10425,,,DNS,Closed,firebaselogging.googleapis.com,76,156,1,1,2025-02-04T05:07:34.036-07:00,2025-02-04T05:07:34.392-07:00
853,6,10.215.173.1,43000,142.251.186.95,443,10425,,,HTTPS,Closed,firebaselogging.googleapis.com,1983,5988,9,9,2025-02-04T05:07:34.398-07:00,2025-02-04T05:08:34.811-07:00
890,17,10.215.173.1,46335,10.215.173.2,53,10313,Gboard,com.google.android.inputmethod.latin,DNS,Closed,www.gstatic.com,61,77,1,1,2025-02-04T05:10:40.770-07:00,2025-02-04T05:10:40.944-07:00
891,6,10.215.173.1,48540,142.251.186.94,443,10313,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,1504,6286,15,14,2025-02-04T05:10:40.961-07:00,2025-02-04T05:11:42.001-07:00
914,17,10.215.173.1,47087,10.215.173.2,53,10272,Google Play Store,com.android.vending,DNS,Closed,beacons.gcp.gvt2.com,66,112,1,1,2025-02-04T05:12:18.726-07:00,2025-02-04T05:12:18.748-07:00
915,6,10.215.173.1,48526,142.250.115.94,443,10272,Google Play Store,com.android.vending,HTTPS,Closed,beacons.gcp.gvt2.com,3923,7989,19,18,2025-02-04T05:12:18.753-07:00,2025-02-04T05:13:23.536-07:00
916,17,10.215.173.1,47535,142.250.115.94,443,10272,Google Play Store,com.android.vending,QUIC,Closed,beacons.gcp.gvt2.com,4156,8900,6,10,2025-02-04T05:12:18.928-07:00,2025-02-04T05:12:19.038-07:00
943,17,10.215.173.1,33398,10.215.173.2,53,10307,Chrome,com.android.chrome,DNS,Closed,encrypted-tbn0.gstatic.com,72,168,1,1,2025-02-04T05:12:38.768-07:00,2025-02-04T05:12:38.789-07:00
944,17,10.215.173.1,2083,10.215.173.2,53,10307,Chrome,com.android.chrome,DNS,Closed,encrypted-tbn0.gstatic.com,72,129,1,1,2025-02-04T05:12:38.771-07:00,2025-02-04T05:12:38.789-07:00
945,6,10.215.173.1,47290,142.250.115.100,443,10307,Chrome,com.android.chrome,HTTPS,Closed,encrypted-tbn0.gstatic.com,2392,13809,21,18,2025-02-04T05:12:38.793-07:00,2025-02-04T05:13:21.792-07:00
