Sequence,Mapping,Simulation
ᛁ,1,Simulation 1
ᛞ,2,Simulation 1
ᚠ,3,Simulation 1
ᛒ,4,Simulation 1
ᚷ,5,Simulation 1
ᛚ,6,Simulation 1
ᛗ,7,Simulation 1
ᛃ,8,Simulation 1
ᛏ,9,Simulation 1
ᛇ,10,Simulation 1
ᛋ,11,Simulation 1
ᚾ,12,Simulation 1
ᚨ,13,Simulation 1
ᚱ,14,Simulation 1
ᛈ,15,Simulation 1
ᛉ,16,Simulation 1
ᚹ,17,Simulation 1
ᛜ,18,Simulation 1
ᛟ,19,Simulation 1
ᚺ,20,Simulation 1
ᛖ,21,Simulation 1
ᚦ,22,Simulation 1
ᚢ,23,Simulation 1
ᚲ,24,Simulation 1
ᛞ,1,Simulation 2
ᛋ,2,Simulation 2
ᚷ,3,Simulation 2
ᚹ,4,Simulation 2
ᛁ,5,Simulation 2
ᛟ,6,Simulation 2
ᚨ,7,Simulation 2
ᚾ,8,Simulation 2
ᛏ,9,Simulation 2
ᛚ,10,Simulation 2
ᛖ,11,Simulation 2
ᛗ,12,Simulation 2
ᛉ,13,Simulation 2
ᚢ,14,Simulation 2
ᚱ,15,Simulation 2
ᚠ,16,Simulation 2
ᛃ,17,Simulation 2
ᛒ,18,Simulation 2
ᛇ,19,Simulation 2
ᚦ,20,Simulation 2
ᚲ,21,Simulation 2
ᛜ,22,Simulation 2
ᚺ,23,Simulation 2
ᛈ,24,Simulation 2
ᚢ,1,Simulation 3
ᚦ,2,Simulation 3
ᛖ,3,Simulation 3
ᛟ,4,Simulation 3
ᛉ,5,Simulation 3
ᛋ,6,Simulation 3
ᛚ,7,Simulation 3
ᚾ,8,Simulation 3
ᚷ,9,Simulation 3
ᛗ,10,Simulation 3
ᛃ,11,Simulation 3
ᛞ,12,Simulation 3
ᚲ,13,Simulation 3
ᛏ,14,Simulation 3
ᛈ,15,Simulation 3
ᛒ,16,Simulation 3
ᚠ,17,Simulation 3
ᛁ,18,Simulation 3
ᚱ,19,Simulation 3
ᚺ,20,Simulation 3
ᚹ,21,Simulation 3
ᛜ,22,Simulation 3
ᛇ,23,Simulation 3
ᚨ,24,Simulation 3
